IMname,Category,Energy,Frequency
8,1,123824889.9,17
8,1,74084725.19,18
8,1,45738378.95,19
8,1,37240391.48,20
8,1,31380166.09,21
8,1,34093518.97,22
8,1,32697579.24,23
8,1,24662012.98,24
8,1,25510771.69,25
8,1,35841501.28,26
8,1,27938586.8,27
8,1,27685740.92,28
8,1,18806713.72,29
8,1,13299116.01,30
8,1,9825386.322,31
8,1,10068750.91,32
8,1,10323581.44,33
8,1,7730236.534,34
8,1,5798587.423,35
8,1,4406280.776,36
8,1,3589085.307,37
8,1,2685363.731,38
8,1,2466191.961,39
8,1,2197017.696,40
8,1,2394031.218,41
8,1,2235099.479,42
8,1,1980447.051,43
8,1,1949594.93,44
8,1,1504240.62,45
8,1,1135796.812,46
8,1,1009898.286,47
8,1,971480.2603,48
8,1,788378.8324,49
8,1,827339.4469,50
8,1,789549.0786,51
8,1,710645.8443,52
8,1,535208.331,53
8,1,410995.2171,54
8,1,367627.0381,55
8,1,364358.5805,56
8,1,289244.8306,57
8,1,294890.1924,58
8,1,211448.1715,59
8,1,162905.799,60
8,1,158926.3519,61
8,1,140662.9787,62
8,1,135406.4572,63
8,1,111021.6954,64
8,1,87441.97083,65
8,1,66314.72126,66
8,1,63260.99438,67
8,1,58624.07969,68
8,1,45846.10521,69
8,1,33142.49329,70
8,1,23587.72398,71
8,1,21005.30471,72
8,1,19597.07938,73
8,1,14434.8472,74
8,1,13269.8991,75
8,1,11392.12635,76
8,1,8985.160979,77
8,1,8183.724609,78
8,1,7385.105159,79
8,1,7092.795894,80
8,1,6536.798068,81
8,1,5834.911949,82
8,1,5125.968341,83
8,1,5219.387176,84
8,1,4462.019516,85
8,1,4412.29887,86
8,1,4665.778499,87
8,1,4797.078001,88
8,1,4447.88026,89
8,1,4186.905805,90
9,1,6.97E+11,1
9,1,48947451731,2
9,1,35496440874,3
9,1,8485515192,4
9,1,5618420080,5
9,1,1815774969,6
9,1,1397946364,7
9,1,948265791.3,8
9,1,316527545.6,9
9,1,235614386.5,10
9,1,248897145.2,11
9,1,165576586.9,12
9,1,207612042.2,13
9,1,121778402.7,14
9,1,108489814.3,15
9,1,102535473.2,16
9,1,110509815.9,17
9,1,84577840.33,18
9,1,53683554.53,19
9,1,37596478.38,20
9,1,18805198.92,21
9,1,13731224.68,22
9,1,14932995.5,23
9,1,19999898.46,24
9,1,19215547.61,25
9,1,24071989.4,26
9,1,21900222.16,27
9,1,13762082.63,28
9,1,13122684.58,29
9,1,11740674.72,30
9,1,12027642.79,31
9,1,10040039.58,32
9,1,10222377.22,33
9,1,6552848.428,34
9,1,5889882.626,35
9,1,5529909.901,36
9,1,4384512.295,37
9,1,3375482.306,38
9,1,2909586.157,39
9,1,2542327.564,40
9,1,2184258.124,41
9,1,2733823.035,42
9,1,2025291.244,43
9,1,2204479.806,44
9,1,1994771.885,45
9,1,1907390.24,46
9,1,1631356.603,47
9,1,1094293.384,48
9,1,971811.9937,49
9,1,891085.6828,50
9,1,838221.5968,51
9,1,864191.3248,52
9,1,754039.7563,53
9,1,671579.2414,54
9,1,628175.1379,55
9,1,602671.2054,56
9,1,536345.818,57
9,1,467278.4166,58
9,1,409844.3197,59
9,1,339082.1014,60
9,1,360330.1027,61
9,1,288336.8007,62
9,1,288608.5859,63
9,1,268397.2729,64
9,1,286143.089,65
9,1,275156.0703,66
9,1,243786.9886,67
9,1,182174.124,68
9,1,231456.4225,69
9,1,171845.4457,70
9,1,138066.4991,71
9,1,125010.3585,72
9,1,96723.36191,73
9,1,67977.42673,74
9,1,70366.54817,75
9,1,67054.93094,76
9,1,60863.46464,77
9,1,48861.23913,78
9,1,43399.79436,79
9,1,42982.43556,80
9,1,42093.19498,81
9,1,36352.36114,82
9,1,32486.21103,83
