Subject,Trial,Category,Image,Valence,Arousal,IMidx
5,45,1,face014.png,1,2,14
5,20,1,face015.png,3,5,15
5,36,1,face016.png,3,2,16
5,18,1,face017.png,2,6,17
5,40,1,face018.png,2,3,18
5,32,1,face019.png,4,3,19
5,31,1,face020.png,3,3,20
5,35,2,flower001.png,8,2,21
5,9,2,flower002.png,7,3,22
5,17,2,flower003.png,7,3,23
5,15,2,flower004.png,7,3,24
5,2,2,flower005.png,7,7,25
5,34,2,flower006.png,8,8,26
5,60,2,flower007.png,9,2,27
5,50,2,flower008.png,8,2,28
5,11,2,flower009.png,7,2,29
5,28,2,flower010.png,7,2,30
5,49,2,flower011.png,3,3,31
5,7,2,flower012.png,7,3,32
5,37,2,flower013.png,1,1,33
5,53,2,flower014.png,8,2,34
5,38,2,flower015.png,8,1,35
5,46,2,flower016.png,7,2,36
5,26,2,flower017.png,7,2,37
5,27,2,flower018.png,7,3,38
5,57,2,flower019.png,2,2,39
5,4,2,flower020.png,8,2,40
5,43,3,snake001.png,2,2,41
5,33,3,snake002.png,2,3,42
5,23,3,snake003.png,2,3,43
5,51,3,snake004.png,3,2,44
5,59,3,snake005.png,4,2,45
5,14,3,snake006.png,2,3,46
5,16,3,snake007.png,7,3,47
5,42,3,snake008.png,2,2,48
5,47,3,snake009.png,2,2,49
5,22,3,snake010.png,2,3,50
5,5,3,snake011.png,2,2,51
5,55,3,snake012.png,2,2,52
5,12,3,snake013.png,6,2,53
5,54,3,snake014.png,3,2,54
5,19,3,snake015.png,4,2,55
5,1,3,snake016.png,2,2,56
5,41,3,snake017.png,3,2,57
5,24,3,snake018.png,2,2,58
5,44,3,snake019.png,2,2,59
5,30,3,snake020.png,3,3,60
6,13,1,face001.png,4,2,1
6,48,1,face002.png,1,6,2
6,4,1,face003.png,1,6,3
6,41,1,face004.png,1,5,4
6,52,1,face005.png,4,2,5
6,20,1,face006.png,3,3,6
6,40,1,face007.png,1,4,7
6,46,1,face008.png,2,3,8
6,3,1,face009.png,1,5,9
6,27,1,face010.png,5,4,10
6,35,1,face011.png,3,2,11
6,14,1,face012.png,4,3,12
6,45,1,face013.png,4,1,13
6,1,1,face014.png,2,1,14
6,5,1,face015.png,7,5,15
6,22,1,face016.png,4,2,16
6,36,1,face017.png,2,4,17
6,32,1,face018.png,6,1,18
6,31,1,face019.png,3,4,19
6,37,1,face020.png,1,4,20
6,34,2,flower001.png,5,4,21
6,23,2,flower002.png,6,4,22
6,50,2,flower003.png,7,1,23
6,47,2,flower004.png,6,2,24
6,29,2,flower005.png,7,4,25
6,49,2,flower006.png,6,4,26
6,60,2,flower007.png,8,2,27
6,7,2,flower008.png,7,3,28
6,43,2,flower009.png,4,1,29
6,11,2,flower010.png,5,6,30
6,16,2,flower011.png,7,2,31
6,58,2,flower012.png,5,3,32
6,39,2,flower013.png,6,2,33
6,59,2,flower014.png,6,3,34
6,15,2,flower015.png,6,2,35
6,38,2,flower016.png,7,4,36
6,30,2,flower017.png,6,3,37
6,51,2,flower018.png,6,1,38
6,33,2,flower019.png,6,2,39
6,12,2,flower020.png,7,6,40
6,53,3,snake001.png,3,1,41
6,26,3,snake002.png,3,2,42
6,44,3,snake003.png,3,1,43
6,18,3,snake004.png,3,3,44
6,54,3,snake005.png,2,3,45
6,57,3,snake006.png,2,1,46
6,19,3,snake007.png,4,2,47
6,17,3,snake008.png,7,2,48
6,2,3,snake009.png,6,3,49
6,24,3,snake010.png,3,2,50
6,25,3,snake011.png,3,3,51
6,9,3,snake012.png,5,1,52
6,55,3,snake013.png,2,3,53
6,56,3,snake014.png,1,1,54
6,28,3,snake015.png,2,4,55
6,21,3,snake016.png,3,2,56
6,10,3,snake017.png,3,3,57
6,6,3,snake018.png,4,2,58
6,8,3,snake019.png,3,3,59
6,42,3,snake020.png,2,3,60
7,55,1,face001.png,1,9,1
7,3,1,face002.png,2,8,2
7,53,1,face003.png,1,9,3
7,20,1,face004.png,3,8,4
7,37,1,face005.png,9,9,5
7,5,1,face006.png,1,9,6
7,43,1,face007.png,3,8,7
7,50,1,face008.png,1,9,8
7,35,1,face009.png,2,9,9
7,36,1,face010.png,1,9,10
7,23,1,face011.png,1,8,11
7,18,1,face012.png,2,9,12
7,59,1,face013.png,1,9,13
7,38,1,face014.png,2,9,14
7,8,1,face015.png,4,6,15
7,14,1,face016.png,2,8,16
7,21,1,face017.png,1,9,17
7,46,1,face018.png,2,9,18
7,45,1,face019.png,1,9,19
7,17,1,face020.png,3,8,20
7,15,2,flower001.png,5,5,21
7,44,2,flower002.png,5,2,22
7,56,2,flower003.png,8,8,23
7,31,2,flower004.png,8,8,24
7,1,2,flower005.png,7,5,25
7,58,2,flower006.png,5,6,26
7,6,2,flower007.png,7,7,27
7,51,2,flower008.png,8,8,28
7,30,2,flower009.png,6,7,29
7,13,2,flower010.png,5,5,30
7,48,2,flower011.png,7,8,31
7,2,2,flower012.png,7,5,32
7,11,2,flower013.png,6,8,33
7,29,2,flower014.png,7,7,34
7,19,2,flower015.png,5,6,35
7,9,2,flower016.png,8,2,36
7,47,2,flower017.png,7,8,37
7,7,2,flower018.png,7,7,38
7,34,2,flower019.png,7,7,39
7,12,2,flower020.png,4,4,40
7,39,3,snake001.png,5,5,41
7,52,3,snake002.png,5,7,42
7,54,3,snake003.png,7,6,43
7,26,3,snake004.png,5,5,44
